name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
DCE 5.0,,https://docs.daocloud.io/en/baize/intro/,logos/3c8a2385d2891c24d2d53cede6b609f4f524262fab8da3d85bb68771dbf707f4.svg,https://twitter.com/daocloud_io,https://www.crunchbase.com/organization/daocloud,,,,,,,"Baize is a Cloud Native AI module in DCE 5.0 that offers an integrated AI computing platform. It optimizes GPU performance, schedules computing resources efficiently, and provides simplified AI development frameworks to accelerate AI application deployment across industries.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
deepchecks,,https://deepchecks.com/,logos/a8995c4574e702e52b12403c2bd49222f949b24fe4ffaba77b33e3740bdb6841.svg,https://twitter.com/deepchecks,https://www.crunchbase.com/organization/deepchecks,,,opensource,,,,"Tests for Continuous Validation of ML Models & Data. Deepchecks is a holistic open-source solution for all of your AI & ML validation needs, enabling to thoroughly test your data and models from research to production.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
deepinfra,,https://deepinfra.com/,logos/6fa30ed571358a0d8a6a7b8f435df6e387b0912e9fa9c9836567e85a568aa855.svg,https://twitter.com/DeepInfra,https://www.crunchbase.com/organization/deep-infra,,,,,,,"Fast ML Inference, Simple API",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Dify,,https://dify.ai,logos/ce6c8c3702a574ffb1736948a2b92df4976e9fe90509bf110dc0670f4993274d.svg,https://twitter.com/dify_ai/,https://www.crunchbase.com/organization/langgenius-inc,,,opensource,,,,"Dify.AI is an LLM application development platform. It integrates the concepts of Backend as a Service and LLMOps, covering the core tech stack required for building generative AI-native applications, including a built-in RAG engine.",,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
elevenlabs,,https://elevenlabs.io/,logos/6a2b251c3f4d22c291ba448f64c8170289fb7af39f766b3256bef3c8379878b1.svg,https://twitter.com/elevenlabsio,https://www.crunchbase.com/organization/elevenlabs,,,,,,,"Convert text to speech online for free with our AI voice generator. Create natural AI voices instantly in any language - perfect for video creators, developers, and businesses.",,,,,,,,,,,,Foundation Model,Audio,,,,,,,,,,,,,,,,,,,,,,,,
envd,,https://envd.tensorchord.ai/,logos/1e0ad0d0b32d43c79bd371da73023132e11cda587487a014944600b4b594582c.svg,https://twitter.com/tensorchord,https://www.crunchbase.com/organization/tensorchord,,,opensource,,,,"envd (ɪnˈvdɪ) is a command-line tool that helps you create the container-based development environment for AI/ML.

Creating development environments is not easy, especially with today's complex systems and dependencies. With everything from Python to CUDA, BASH scripts, and Dockerfiles constantly breaking, it can feel like a nightmare - until now!

Instantly get your environment running exactly as you need with a simple declaration of the packages you seek in build.envd and just one command: envd up!
",,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
Epsilla,,https://epsilla.com,logos/43a9167bd3e77b4c31a8a78111d3e2766c5ff68c5ee312655ba1a9ee06c9dec8.svg,https://twitter.com/epsilla_inc,https://www.crunchbase.com/organization/epsilla,,,opensource,,,,10x faster vector database and one-stop RAGaaS platform for building LLM applications,,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
fireworks,,https://fireworks.ai/,logos/aaff921a7678ae064ba63ddd157532188babb69096731c237ef07cf6881bda36.svg,https://twitter.com/FireworksAI_HQ,https://www.crunchbase.com/organization/fireworks-ai,,,,,,,Fireworks.ai is a lightning-fast inference platform that helps you serve your large language models (LLMs).,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Fixie,,https://fixie.ai/,logos/6b22e78c102800acf04c38adbc593c425ee99923c4764c0883463a83f73b50f7.svg,https://twitter.com/fixieai,https://www.crunchbase.com/organization/fixie-ai,,,,,,,"From no-code to full code, Fixie is the world's leading platform for building conversational AI agents that are designed to answer questions, take action, and live directly alongside your application.",,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
Floom,,https://floom.ai,logos/10d4b31d01f664647f05d837332577d2784d49488c667aeec703588ac06d75b1.svg,https://twitter.com/Floom_AI,,,,opensource,,,,"Floom is an open-source AI framework, helping developers elevate apps with AI features. Offering dev-first AI development including a production-grade framework with routing, caching, cost management and more, as well AI Pipeline hosting on on-prem Docker container & Floom Cloud, Floom is built for production grade AI integration.",,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
flyte,,https://flyte.org/,logos/5d19de044c6e9244d3132cefe1346fd01f5d659a217de607b1c9b57f008a84e6.svg,https://twitter.com/flyteorg,https://www.crunchbase.com/organization/union-ai,,,opensource,,,,"Scalable and flexible workflow orchestration platform that seamlessly unifies data, ML and analytics stacks.",,,,,,,,,,,,Orchestration,Workflow & Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
gable,,https://www.gable.ai/,,,,,,,,,,Shift data left,,,,,,,,,,,,Data Management,ETL & Data Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
GANTRY,,https://www.gantry.io/,logos/b17a4ff8ad1f691cdc3eaaff6acc54cefb2d92fa6fe72f27f31e75ea6a4eee90.svg,https://twitter.com/gantry_ml,https://www.crunchbase.com/organization/gantry-590c,,,,,,,"Powerful observability, analytics, and evaluation for your AI-powered products.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Geniusrise,,https://geniusrise.ai,logos/260c0da9e70cef867137d2ee3e54d12c1d4292b71c0b6903444aea0db8870b86.svg,https://twitter.com/genius_rise,https://www.crunchbase.com/organization/geniusrise,,,,,,,"Run, Fine Tune and Scale text, vision, audio and multi-modal models via CLI on local or kubernetes",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
GGML,,https://ggml.ai/,logos/973fab67e4859dd2e4d625eb143717b07a2f7b66c161cb12f4a2ed51087ebac3.svg,https://twitter.com/ggerganov,,,,opensource,,,,LLM inference in pure C/C++,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
giskard,,https://giskard.ai/,logos/87cf5c23517755a24942b29175ab84497dcde47c6a192cc000862e987f65de3b.svg,https://twitter.com/giskard_ai,https://www.crunchbase.com/organization/giskard-ai,,,opensource,,,,"The testing framework for ML models, from tabular to LLMs",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Gradio,,https://www.gradio.app/,logos/8a5e887697397036e52e99d6c015c3f211927f536264edbf58bd972a74edef56.svg,https://twitter.com/gradio,https://www.crunchbase.com/organization/gradio,,,opensource,,,,"Gradio is the fastest way to demo your machine learning model with a friendly web interface so that anyone can use it, anywhere!",,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
GRAPHCORE,,https://www.graphcore.ai/,logos/8706deea93d6abfa61c82957ac493084d5453aafc154a7e17679cbeba0c76b67.svg,https://twitter.com/graphcoreai,https://www.crunchbase.com/organization/graphcore,,,,,,,"Harness the power of IPU-powered generative AI to supercharge growth, streamline operations and bring intelligence to your enterprise applications. Build and deploy AI-native products and platforms using Graphcore's cloud services, pre-trained models, optimized inference engines and APIs.",,,,,,,,,,,,Hardware & Cloud,GPU,,,,,,,,,,,,,,,,,,,,,,,,
GreptimeAI,,https://greptime.com/product/ai,logos/495da429340fe4152256824730efdaee070865a971dffdd86a4b5f0978de7328.svg,https://twitter.com/Greptime,https://www.crunchbase.com/organization/greptime,,,opensource,,,,"Gain comprehensive insights into the cost, performance, feedback, traces of your LLM applications.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Haystack,,https://haystack.deepset.ai/,logos/5d64f4cc862264e95c8f133c8bd29f51530f559ecdc862d744f806a5874b215f.svg,https://twitter.com/Haystack_AI,https://www.crunchbase.com/organization/deepset,,,opensource,,,,Haystack is an open-source LLM framework for building production-ready applications,,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
Helicone,,https://www.helicone.ai/,logos/6dd7b7ee24ac5b17ac0ff8c46be10894230b6e1134641375321dcfa154017b8b.svg,https://twitter.com/helicone_ai,https://www.crunchbase.com/organization/helicone,,,opensource,,,,The easiest way to monitor your LLM-applications at scale,,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
huggingface,,https://huggingface.co/,logos/3613c73f07ccae19118bfe6d2f8cd127183d08cf99468a708e090953e116ed0a.svg,https://twitter.com/huggingface,https://www.crunchbase.com/organization/huggingface,,,opensource,,,,The AI community building the future.,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Humanloop,,https://humanloop.com/,logos/a834f2617c41339e2aa092195dee90c2330b7ef4b2410b8eaa8961246ef75343.svg,https://twitter.com/humanloop,https://www.crunchbase.com/organization/humanloop,,,,,,,Humanloop helps developers and product teams build high-performing applications on top of large language models like GPT-4. We help you solve the most critical workflows around prompt engineering and evaluation.,,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Indexify,,https://getindexify.io/,logos/293b86df62ef7e3fdbfdfad69b2e62533daa9a64e5ac965902c9becb21395ec3.svg,,,,,,,,,Indexify is a reactive structured extraction engine for un-structured data.,,,,,,,,,,,,Data Management,ETL & Data Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
Inferless,,https://www.inferless.com/,logos/ddb54c7eab0a13d4f74104dcf54878847e2e6ad6bcb0d9557805b63a09750d10.svg,https://twitter.com/Inferless_,,,,,,,,"Inferless offers serverless GPU Inference to scale your machine learning inference without any hassle of managing servers, and deploy complicated and custom models with ease.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Invoke,,https://www.invoke.com,logos/23c2297f5d49ad2d070dc34bb1a9e17d098d0eebd9b4b5c4267cc8104e31be88.svg,https://twitter.com/Invoke_AI,https://www.crunchbase.com/organization/invoke-ai,,,opensource,,,,"InvokeAI is a leading deployment solution for image generation models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies.",,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
JuiceFS,,https://juicefs.com,logos/22fe040903d651585355b93e4d4a59351cb5eb4297069d10fea4650597239301.svg,https://twitter.com/juicedatainc,https://www.crunchbase.com/organization/juicefs,,,opensource,,,,"JuiceFS is a high performance distributed file system for cloud, compatible with POSIX, HDFS and S3 API",,,,,,,,,,,,Data Management,Storage,,,,,,,,,,,,,,,,,,,,,,,,
Katonic AI,,https://www.katonic.ai/,logos/8649a5ac1f90c8d9470d739022f7e7874e655d93801a199fe447a772be512395.svg,https://twitter.com/AiKatonic,https://www.crunchbase.com/organization/katonic-ai,,,,,,,"Katonic AI is an end-to-end enterprise AI solution for businesses. Its generative AI capabilities are built on top of the Katonic machine learning operations platform. Using Katonic AI, businesses can manage the entire process of data preparation, model training, model deployment, model monitoring, and end-to-end automation with high accuracy, reliability, and efficiency.",,,,,,,,,,,,Application Development,End-to-end Platform,,,,,,,,,,,,,,,,,,,,,,,,
kserve,,https://kserve.github.io/website/latest/,logos/4a0df1b4a727c94810de6c68570bb6b920fffd20fc566f88692783fabd1092f8.svg,,,,,opensource,,,,Highly scalable and standards based Model Inference Platform on Kubernetes for Trusted A,,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
Kubeflow pipelines,,https://www.kubeflow.org/,logos/acdb9da48194fcf27234f4b5352a177fc525afd95a197b378e5aa78c26a1d50a.svg,https://twitter.com/kubeflow,,,,cncf,,,,Machine Learning Pipelines for Kubeflow,,,,,,,,,,,,Orchestration,Workflow & Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
lakeFS,,https://lakefs.io/,logos/ffb8277eb0557dc809d293e22cdc0e1e5ef4ed96a184e7ccce4875dbe1435b52.svg,https://twitter.com/lakeFS,https://www.crunchbase.com/organization/treeverse,,,opensource,,,,LakeFS is a developer of a scalable data version control system,,,,,,,,,,,,Data Management,Storage,,,,,,,,,,,,,,,,,,,,,,,,
Lambda Labs,,https://lambdalabs.com/,logos/f9a962d41f5de38b52195626b96bd71c04cb15e76ed25370074e2716083e2069.svg,https://twitter.com/lambdaapi,https://www.crunchbase.com/organization/lambda-labs,,,,,,,On-demand & reserved cloud GPUs for AI training & inference,,,,,,,,,,,,Hardware & Cloud,Cloud Provider,,,,,,,,,,,,,,,,,,,,,,,,
lamini,,https://www.lamini.ai/,logos/1adfe59a3144ffff45ab6c385c9fec07c4e6dd82086955cf6da3ee427b68016f.svg,https://twitter.com/LaminiAI,,,,opensource,,,,Get LLMs in production in 2 minutes with Lamini!,,,,,,,,,,,,Runtime,Finetuning & RLHF,,,,,,,,,,,,,,,,,,,,,,,,
lancedb,,https://lancedb.com/,logos/969abf2e71382f462796256436e00330f208327c149444cab767e197ae74950b.svg,https://twitter.com/lancedb,https://www.crunchbase.com/organization/lancedb,,,opensource,,,,"A new kind of vector database, built for developers",,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
LangChain,,https://langchain.com,logos/557faf665f75be7a9d9ef4fe0af621d257589e735851a5e931c960a1ce51331d.svg,https://twitter.com/langchainai,https://www.crunchbase.com/organization/langchain,,,opensource,,,,LangChain is a language model application development library,,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
Langflow,,https://www.langflow.org/,logos/8103d91f0766b53dc77e6b59530ef19e07e858a3ffc804ba023431d191f28643.svg,https://twitter.com/logspace_ai,,,,opensource,,,,"Langflow is a UI for LangChain, designed with react-flow to provide an effortless way to experiment and prototype flows.",,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
langfuse,,https://langfuse.com/,logos/5af855a90fdcf1669145d482f30190d6860253c9577dd65bf30aef866b9e0ab5.svg,https://twitter.com/langfuse,https://www.crunchbase.com/organization/finto-acba,,,opensource,,,,"🪢 Open source LLM observability, analytics, prompt management, evaluations, tests, monitoring, logging, tracing, LLMOps. 🕵️‍♂️ Langfuse: the LLM engineering platform. Debug, analyze and iterate together - 🍊YC W23 🤖 Stable SDKs + integrations for Typescript, Python, OpenAI, Langchain, Litellm, Flowise, Superagent and Langflow
",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Latitude.sh,,https://www.latitude.sh/,logos/986b3f27aa60ad4d8f34e24a5d46084fa273a27516acdc5cbad6e53760db172b.svg,https://twitter.com/latitudesh,https://www.crunchbase.com/organization/latitudesh,,,,,,,Deploy dedicated GPU clusters and GPU Containers in seconds,,,,,,,,,,,,Hardware & Cloud,Cloud Provider,,,,,,,,,,,,,,,,,,,,,,,,
lepton,,https://www.lepton.ai/,logos/01c0016012c1da578444047da033d9d0ad75163152bacdaa151094885b1e6651.svg,https://twitter.com/leptonAI,https://www.crunchbase.com/organization/lepton,,,opensource,,,,"Run AI applications efficiently, at scale, and in minutes with a cloud native platform.",,,,,,,,,,,,Runtime,Inference & Deployment,,,,,,,,,,,,,,,,,,,,,,,,
lightly,,https://www.lightly.ai/,logos/0d7d55d8eff3632175e894f4480785aba46282815447cbf1a292f96df78a2105.svg,https://twitter.com/LightlyAI,https://www.crunchbase.com/organization/mirage,,,opensource,,,,Lightly is a data curation company for machine learning that helps companies build better models through better data.,,,,,,,,,,,,Data Management,Data Curation,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Studio,,https://lightning.ai/,logos/460e04ac56f7a1c5a1f4850caa46460e217df9299e271627ec0ae51de16a6596.svg,,https://www.crunchbase.com/organization/grid-ai,,,,,,,"Lightning AI introduces a paradigm shift to AI development. Studio integrates your favorite ML tools into a single cohesive experience. It also eliminates the environment discrepancy between local code which runs on the cloud. This allows for trivial multi-node, scalable AI web apps, endpoints and more.",,,,,,,,,,,,Application Development,IDE & Workspace,,,,,,,,,,,,,,,,,,,,,,,,
Llama 2,,https://ai.meta.com/llama/,,,,,,opensource,,,,The next generation of open source large language model,,,,,,,,,,,,Foundation Model,LLM,,,,,,,,,,,,,,,,,,,,,,,,
LlamaIndex,,https://www.llamaindex.ai/,logos/e6d5ae08f9656355d15dd10ce9a10d5393b242f4532585b9a77eae9d61260c68.svg,https://twitter.com/llama_index,https://www.crunchbase.com/organization/llamaindex,,,opensource,,,,"LlamaIndex is a simple, flexible data framework for connecting custom data sources to large language models.",,,,,,,,,,,,Application Development,Agent & Prompt Framework,,,,,,,,,,,,,,,,,,,,,,,,
Luxonis,,https://luxonis.com/,logos/059232e0e46db6d69030c23faaa025fc29aa0658c353977f8730053e7d64214e.svg,https://twitter.com/luxonis/,https://www.crunchbase.com/organization/luxonis,,,,,,,Luxonis builds stereo depth cameras with built-in AI accelerator,,,,,,,,,,,,Hardware & Cloud,Cameras & EdgeAI,,,,,,,,,,,,,,,,,,,,,,,,
Martian,,https://withmartian.com/,logos/be8a0eb4c5664606250ee53b8773d801ff056c35169c208cc30f6e043abc3b41.svg,https://twitter.com/withmartian,https://www.crunchbase.com/organization/portkey,,,,,,,The Martian Model Router dynamically routes requests to the best LLM in real-time.,,,,,,,,,,,,Orchestration,Gateway & Router,,,,,,,,,,,,,,,,,,,,,,,,
Metaflow,,https://metaflow.org/,logos/3af7d8352e471ea5643071ad2ae979221eed492dee6fd8c023f9f4c4f851dd2f.svg,https://twitter.com/MetaflowOSS,https://www.crunchbase.com/organization/outerbounds,,,opensource,,,,"Open-source Metaflow makes it quick and easy to build and manage real-life ML, AI, and data science projects.",,,,,,,,,,,,Orchestration,Workflow & Pipeline,,,,,,,,,,,,,,,,,,,,,,,,
Milvus,,https://milvus.io/,logos/4ca6c7155b28afb51e390c11b332c6f93e788d2aff7bc90518ec4b5648dc9f44.svg,https://twitter.com/milvusio,https://www.crunchbase.com/organization/zilliz,,,opensource,,,,Vector database built for scalable similarity search,,,,,,,,,,,,Data Management,Vector Database,,,,,,,,,,,,,,,,,,,,,,,,
mindsdb,,https://mindsdb.com/,logos/ce43875629e8c11fee808c4233e2f84e126205b9208b40485f151d8add8e04ed.svg,https://twitter.com/MindsDB,https://www.crunchbase.com/organization/mindsdb,,,opensource,,,,We've enhanced SQL to simplify the creation of AI tools that need access to realtime data to perform their tasks.,,,,,,,,,,,,Data Management,AI in DB,,,,,,,,,,,,,,,,,,,,,,,,
mistral,,https://mistral.ai/,logos/af57e7f04ec2216257d0bfa2170f188af5c3f42dfb8ad62e16f5565bfc458799.svg,https://twitter.com/MistralAI,https://www.crunchbase.com/organization/mistral-ai,,,opensource,,,,"A 7B dense Transformer, fast-deployed and easily customisable. Small, yet powerful for a variety of use cases. Supports English and code, and a 8k context window.",,,,,,,,,,,,Foundation Model,LLM,,,,,,,,,,,,,,,,,,,,,,,,
mlflow,,https://mlflow.org/docs/latest/index.html,logos/770026dbeb7d161b112734332157ca9affb1fc1e664612c9c4e28847bc11d0d6.svg,https://twitter.com/MLflow,,,,opensource,,,,"MLflow is an open-source platform, purpose-built to assist machine learning practitioners and teams in handling the complexities of the machine learning process. MLflow focuses on the full lifecycle for machine learning projects, ensuring that each phase is manageable, traceable, and reproducible.",,,,,,,,,,,,Application Development,Observability & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
